scenario_id,system,c1_asserted_facts,c2_inferred_facts,c3_violated_policy,c4_decision_reason,c5_reconstructable,total_score
deploy_break_glass_allowed,rdf_owl_shacl,1,1,1,1,1,5
deploy_break_glass_allowed,opa_set,1,0,0,0,0,1
deploy_break_glass_allowed,opa_derived,1,0,0,0,1,2
deploy_during_freeze_denied,rdf_owl_shacl,1,1,1,1,1,5
deploy_during_freeze_denied,opa_set,1,0,0,0,0,1
deploy_during_freeze_denied,opa_derived,1,0,0,0,1,2
deploy_no_exception_denied,rdf_owl_shacl,1,1,1,1,1,5
deploy_no_exception_denied,opa_set,1,0,0,0,0,1
deploy_no_exception_denied,opa_derived,1,0,0,0,1,2
deploy_no_freeze_allowed,rdf_owl_shacl,1,1,0,0,1,3
deploy_no_freeze_allowed,opa_set,1,0,0,0,0,1
deploy_no_freeze_allowed,opa_derived,1,0,0,0,1,2
deploy_prod,rdf_owl_shacl,1,1,1,1,1,5
deploy_prod,opa_set,1,0,0,0,0,1
deploy_prod,opa_derived,1,0,0,0,1,2
deploy_prod_approved,rdf_owl_shacl,1,1,0,0,1,3
deploy_prod_approved,opa_set,1,0,0,0,0,1
deploy_prod_approved,opa_derived,1,0,0,0,1,2
deploy_staging_allowed,rdf_owl_shacl,1,1,0,0,1,3
deploy_staging_allowed,opa_set,1,0,0,0,0,1
deploy_staging_allowed,opa_derived,1,0,0,0,1,2
query_logs_prod,rdf_owl_shacl,1,1,1,1,1,5
query_logs_prod,opa_set,1,0,0,0,0,1
query_logs_prod,opa_derived,1,0,0,0,1,2
query_logs_sensitive_obligation,rdf_owl_shacl,1,1,1,1,1,5
query_logs_sensitive_obligation,opa_set,1,0,0,0,0,1
query_logs_sensitive_obligation,opa_derived,1,0,0,0,1,2
query_logs_staging_allowed,rdf_owl_shacl,1,1,0,0,1,3
query_logs_staging_allowed,opa_set,1,0,0,0,0,1
query_logs_staging_allowed,opa_derived,1,0,0,0,1,2
query_logs_staging_no_audit,rdf_owl_shacl,1,1,0,0,1,3
query_logs_staging_no_audit,opa_set,1,0,0,0,0,1
query_logs_staging_no_audit,opa_derived,1,0,0,0,1,2
query_logs_with_audit_allowed,rdf_owl_shacl,1,1,0,0,1,3
query_logs_with_audit_allowed,opa_set,1,0,0,0,0,1
query_logs_with_audit_allowed,opa_derived,1,0,0,0,1,2
